retriever,question_id,question,company,difficulty,section,ground_truth,answer,rouge_l,context_precision,answer_relevancy,faithfulness,retrieval_time,gen_time,total_time
Dense,adr_001,What cybersecurity risks does Adams Resources & Energy disclose?,"ADAMS RESOURCES & ENERGY, INC.",easy,section_1A,"Adams Resources discloses that it is subject to cybersecurity risks and may incur increasing costs to enhance security. Security breaches could expose the company to loss, misuse or interruption of sensitive information and result in operational impacts, reputational harm, and liability.","Adams Resources & Energy discloses the following cybersecurity risks:

* The potential for cyber-attacks or other disruptions to their information technology systems, which could lead to reduced revenue, increased costs, liability claims, fines, or harm to their competitive position ([1], 2018).
* The risk of security breaches that could expose them to a risk of loss, misuse, or interruption of sensitive and critical information and functions, including their own proprietary information and that of their customers, suppliers, and employees ([1], 2018).
* The risk of operational impacts, reputational harm, competitive disadvantage, litigation, regulatory enforcement actions, and liability due to security breaches or cyber-attacks ([1], 2018).
* The potential for rapidly evolving types of cyber-attacks that may cause them to incur increasing costs for technology, personnel, and services to enhance security or respond to occurrences ([1], 2018).

Note: These risks are similar to those disclosed by AAR Corp in their 201",0.2304,0.4,0.8571,0.8,0.104,8.651,8.756
Dense,adr_002,What climate-related risks does Adams Resources disclose?,"ADAMS RESOURCES & ENERGY, INC.",medium,section_1A,"Adams Resources discloses that it may not be able to recover through insurance damages, losses or costs that may result from potential physical effects of climate change.","According to ADAMS RESOURCES & ENERGY, INC.'s 2019-03-11 Risk Factors filing, the company discloses the following climate-related risks:

1. Disruption of marketing and transportation activities due to severe weather events, such as hurricanes and floods.
2. Damages to facilities from powerful winds or floods.
3. Increases in costs of operation or reductions in the efficiency of operations.
4. Increased costs for insurance coverages in the aftermath of adverse effects.
5. Potential indirect effects on financing and operations by disrupting transportation or process-related services provided by companies or suppliers with whom they have a business relationship.
6. Changes in demand for and consumption of their products and services due to changes in both costs and weather patterns, which could have a material adverse effect on their business, financial condition, results of operations, and cash flows.
7. Potential inability to recover through insurance some or any of the damages, losses, or costs that may result from potential physical effects of climate change.

",0.2139,1.0,0.8,1.0,0.101,8.516,8.616
Dense,adr_003,What accounting standards changes affected Adams Resources financial statements?,"ADAMS RESOURCES & ENERGY, INC.",hard,section_8,Adams Resources was affected by SFAS No. 145 which amended SFAS No. 13 on Accounting for Leases to eliminate an inconsistency between required accounting for sale-leaseback transactions.,"According to the SEC filings, two accounting standards changes affected Adams Resources' financial statements:

1. In 2006, the Company changed its method of accounting for buy/sell arrangements (as discussed in Note 4 of the consolidated financial statements for the year ended December 31, 2006).
2. In 2015, the Company changed its method of accounting for deferred income taxes effective January 1, 2015 due to the adoption of FASB ASU 2015-17, Balance Sheet Classification of Deferred Taxes (as discussed in Note 1 to the financial statements for the year ended December 31, 2015).

These changes were adopted as a result of adopting FASB Interpretation No. 48, “Accounting for Uncertainty in Income Taxes - an Interpretation of FASB Statement No. 109” on January 1, 2007 (as discussed in Note 4 of the consolidated financial statements for the year ended December 31",0.0723,1.0,0.875,1.0,0.03,9.251,9.281
Dense,aar_001,What services does AAR Corp provide to government customers?,AAR CORP,medium,section_1,"AAR Corp provides fleet management and operations of customer-owned aircraft for the U.S. Department of State under the INL/A WASS contract, and customized performance-based supply chain logistics programs for the U.S. Department of Defense and foreign governments.","According to source [4] (2010-07-16) and [5] (2018-07-11), AAR Corp provides services to government customers through its Government and Defense Services reportable business segment.

In the context of Government and Defense Services, it is mentioned that:

* Aviation Worldwide Services (""AWS""), a leading provider of expeditionary airlift services and aircraft modifications to the United States and other government customers, was acquired by AAR in 2010.
* AWS operates a fleet of customized fixed-wing and rotary-wing aircraft, principally in Afghanistan, Northern Africa, and the Western Pacific, transporting personnel and cargo in support of worldwide U.S. Department of Defense and Department of State deployments.
* The company also performs engineering and design modifications on rotary-wing aircraft for government customers.

No specific details on other services provided to government customers are mentioned in sources [4] and [5].

However, it is mentioned in source [2] (2017-07-12) that",0.1667,1.0,0.8333,0.8571,0.045,8.709,8.754
Dense,aar_002,What are AAR Corp's main business segments?,AAR CORP,easy,section_1,"AAR Corp has two main segments: Aviation Services which provides aftermarket support for commercial aviation and government/defense markets accounting for approximately 95% of sales, and Expeditionary Services which provides products supporting movement of equipment and personnel.","According to the provided SEC filings, AAR Corp's main business segments are:

Aviation Services and Technology Products.

This answer comes from [3] Company: AAR CORP | Section: Business | Date: 2014-07-17 (item 1. BUSINESS).

Note that prior to this change, AAR Corp reported its activities in four business segments: Inventory and Logistic Services, Maintenance, Repair and Overhaul, Manufacturing, and Aircraft and Engine Sales and Leasing, which were later reorganized into Aviation Services and Technology Products.

Also, note that the company's reportable segments changed over time. For example, in 2005, they reported activities in four business segments (see [2]), and in 2002, they reported activities in four business segments as well (see [4]).",0.1216,1.0,0.8,0.8,0.038,7.512,7.549
Dense,aar_003,How did COVID-19 impact AAR Corp's business in fiscal 2020?,AAR CORP,medium,section_1,"COVID-19 significantly impacted AAR Corp in Q4 fiscal 2020 by decreasing commercial aircraft flying and flight hours. The company implemented cost reduction actions including hiring freeze, reducing non-essential spend, furloughs, reduction in force, and closure of an airframe maintenance facility in Duluth Minnesota.","The provided filings do not contain enough information to answer this question about how COVID-19 impacted AAR Corp's business in fiscal 2020.

However, I can provide some context from the provided filings. According to AAR Corp's filing on 2016-07-13 (ITEM 1. BUSINESS), the company executed a comprehensive strategic plan in fiscal 2015 and had a strong financial position as they entered fiscal 2017. There is no specific information about how COVID-19 impacted their business in fiscal 2020.

The provided filings from AAR Corp do not mention the impact of COVID-19 on their business in fiscal 2020.",0.1583,0.2,0.8571,1.0,0.042,7.296,7.338
Dense,aar_004,What cybersecurity risks does AAR Corp disclose?,AAR CORP,medium,section_1A,"AAR Corp discloses that its systems and technologies or those of third parties could fail or become unreliable due to equipment failures, software errors, or cybersecurity attacks, which could disrupt operations.","The provided filings do not contain enough information to answer this question. The risk factors section of the 2012-07-19 filing mentions government funding and spending, but does not specifically mention cybersecurity risks.

However, I can suggest that you review AAR Corp's current Risk Factors section in their most recent annual report to see if they have disclosed any specific cybersecurity risks.",0.0652,1.0,0.8,1.0,0.023,5.085,5.108
Dense,aar_005,How many FAA certificated repair stations does AAR Corp operate?,AAR CORP,easy,section_1,"AAR Corp has 12 FAA certificated repair stations in the United States, Canada, and Europe. Of these, seven are also EASA certificated and three are also Transport Canada Civil Aviation certificated.","According to the provided SEC filings, AAR Corp operates 13 FAA certificated repair stations in the United States and Europe. 

This information can be found in sections [1] (2015-07-15), [2] (2017-07-12) and [3] (2019-07-18).",0.3692,1.0,0.75,0.5,0.023,4.877,4.9
Dense,ceco_001,How does economic conditions affect CECO Environmental's business?,CECO ENVIRONMENTAL CORP,medium,section_1,"Favorable economic conditions generally lead to plant expansions and construction of new industrial sites benefiting CECO, while weak economic conditions negatively impact demand for their environmental products and services.","According to the SEC filings, economic conditions significantly affect CECO Environmental's business. The company states that its financial performance depends largely on varying conditions in the markets it serves, particularly the general industrial markets (Source: [5] 2010-03-29).

The weakened economy has resulted in decreased demand for CECO Environmental's services, and current economic uncertainties may cause customers or prospective customers to defer or reduce spending on air pollution control products and services, which could reduce future earnings and cash flow (Source: [5] 2010-03-29).

Additionally, the company notes that if economic conditions persist or deteriorate, they could have a significant adverse impact on its operations by decreasing customers' demand for or ability to pay for capital improvements, affecting their ability to make payments on contracts, increasing interest expense, and limiting its ability to expand through acquisitions (Source: [5] 2010-03-29).

Therefore, economic conditions play a crucial role in shaping CEC",0.125,1.0,0.8333,0.8,0.025,8.556,8.581
Dense,ceco_002,What operational model does CECO Environmental use?,CECO ENVIRONMENTAL CORP,hard,section_7,CECO Environmental uses a centralized operational model throughout its operations which has provided certain efficiencies over a more decentralized model.,"CECO Environmental Corp uses an asset-light business model (see sections 1. Business General from filings [1], [2], and [3]). This means that they focus on providing services and solutions to their customers without owning a significant amount of physical assets.

Additionally, as stated in section 1. Business General from filing [2], CECO provides systems that capture, clean and destroy airborne contaminants from industrial facilities, as well as equipment that controls emissions from such facilities, as well as fluid handling and filtration systems. This suggests that their operational model is centered around designing, building, installing, and maintaining these systems.

There is no explicit mention of the specific operational models used by CECO Environmental in terms of manufacturing, production, or supply chain management, but based on the information provided in sections 1. Business General from filings [2] and [5], it can be inferred that they focus on providing engineered solutions and services to their customers.

It is worth noting that CECO",0.0782,1.0,0.8,0.8889,0.024,8.628,8.652
Dense,cross_001,Which companies disclose cybersecurity as a risk factor?,MULTIPLE,hard,section_1A,"Adams Resources & Energy, AAR Corp, and Matson Inc all disclose cybersecurity risks in their Risk Factors sections, noting that security breaches could expose them to loss of sensitive information and operational disruption.","The following companies disclose cybersecurity as a risk factor:

* Matson, Inc. (Section: Risk Factors, Date: 2021-02-26)
[1]

* AAR CORP (Section: Risk Factors, Dates: 2016-07-13 and 2015-07-15)
[2], [5]

* BK Technologies Corp (Section: Risk Factors, Date: 2020-03-04)

These companies acknowledge that they are vulnerable to various cybersecurity threats, including cyber attacks, software viruses, hacking, malware, denial of service attacks, cyber terrorism, and other catastrophic events.",0.14,1.0,0.8333,0.5,0.025,6.523,6.548
Dense,cross_002,What government agencies are mentioned as customers across the filings?,MULTIPLE,medium,section_1,The U.S. Department of Defense and U.S. Department of State are mentioned as government customers by AAR Corp. Adams Resources also mentions government contracts.,"The government agencies mentioned as customers across the filings are:

* U.S. Department of Defense (DoD) ([1], [3], [4], [5])
* U.S. Department of State (DoS) ([2], [4])

These agencies are mentioned as principal customers for AAR CORP's products and services in various business segments, including Aviation Services, Expeditionary Services, Government and Defense Services, and Structures and Systems.

 Source: AAR CORP filings from 2011-07-13, 2014-07-17, 2017-07-12, 2018-11-20, 2020-07-21",0.3261,1.0,0.8571,0.5,0.025,6.945,6.97
Dense,cross_003,What environmental regulations affect these companies?,MULTIPLE,hard,section_1A,AAR Corp mentions environmental legal requirements and associated expenditures. Adams Resources discloses climate-related physical risks and potential inability to recover damages through insurance.,"According to the provided SEC filings, the following environmental regulations affect Air Products & Chemicals, Inc.:

* Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA), also known as the Superfund law ([4], [5])
* Resource Conservation and Recovery Act (RCRA) ([4], [5])
* State laws similar to CERCLA ([4], [5])
* Federal environmental and safety laws and regulations concerning emissions in the air, discharges to land and water, and the generation, handling, treatment, and disposal of hazardous waste and other materials ([2], [3])
* International tax treaties ([1])

These regulations can result in additional capital expenditures and costs for compliance, as well as increase operating costs. The company also estimates expenses for these matters, which are charged to income from continuing operations.

Sources:
[4] Air Products & Chemicals, Inc. | Section: Business | Date: 2011-11-22
[5] Air Products",0.0497,1.0,0.8,0.8,0.038,7.44,7.477
Dense,bkt_001,What sector does BK Technologies operate in?,BK Technologies Corp,easy,section_1,BK Technologies Corp operates in the communications technology sector providing mission-critical communications equipment.,"BK Technologies Corp operates in the wireless communications equipment industry, specifically in the two-way land mobile radios and related products sector ([1], [3], [4]). 

[1] BK TECHNOLOGIES CORPORATIONYEARS ENDED DECEMBER 31, 2020 AND NOTES TO CONSOLIDATED FINANCIAL STATEMENTS (in thousands, except share data and percentages) 
The primary business of its wholly-owned operating subsidiary, BK Technologies, Inc., is the designing, manufacturing and marketing of wireless communications equipment primarily consisting of two-way land mobile radios and related products...

[3] Management’s Discussion and Analysis of Financial Condition and Results of Operations Executive Summary (2021-03-03)
We design, manufacture and market American made two-way land mobile radios, repeaters, base stations and related components and subsystems.

[4] BK TECHNOLOGIES CORPORATION CONSOLIDATED BALANCE SHEETS (in thousands, except share data) 
The primary business of its wholly-owned operating subsidiary, BK",0.125,1.0,0.8,1.0,0.045,8.181,8.226
Dense,apd_001,What business does Air Products and Chemicals operate in?,"Air Products & Chemicals, Inc.",easy,section_1,"Air Products and Chemicals operates in the industrial gases and chemicals business, providing atmospheric and process gases and related equipment to various industries.","Air Products & Chemicals operates in several businesses, including:

* Industrial Gases
	+ Atmospheric and process gases
	+ Liquefied natural gas process technology and equipment
* Materials Technologies
	+ Serving the semiconductor industry
	+ Polyurethanes
	+ Cleaning and coatings
	+ Adhesives industries

This information is found in the 2008-11-26 General Description of Business and Fiscal Year 2008 Developments ([1]) and the 2015-11-24 BUSINESS OVERVIEW section ([5]). 

Additionally, Air Products & Chemicals also serves customers globally in growth markets such as:

* Semiconductor materials
* Refinery hydrogen
* Natural gas liquefaction
* Home healthcare
* Advanced coatings and adhesives

This information is found in the 2006-12-13 GENERAL DESCRIPTION OF BUSINESS section ([2]).

It's worth noting that Air Products & Chemicals has also exited certain businesses, such as the Energy-from",0.1722,1.0,0.8333,1.0,0.025,8.412,8.437
Dense,acu_001,What risks does ACME United disclose to investors?,ACME UNITED CORP,easy,section_1A,ACME United discloses that ownership of the company's securities involves a number of risks and uncertainties that potential investors should carefully consider.,"ACME United Corp discloses several risks to investors, including:

1. Cybersecurity risks: The company may be subject to liability for failure to comply with privacy and information security laws, for failing to protect personal information, or for misusing personal information (as disclosed in [1], [2], and [3]).
2. Loss of business due to competition: Future market and competitive pressures may prohibit the Company from raising prices to offset increased product costs, freight costs, and other inflationary items, which could have a negative effect on its results of operations (as disclosed in [1] and [2]).
3. Inability to raise prices: The inability to pass these costs through to the Company’s customers could have a negative effect on its results of operations (as disclosed in [1] and [2]).
4. Need for additional capital: The Company may need to raise additional capital to fund its operations (as disclosed in [1] and [2]).
5. Uncertainty in new product",0.0909,1.0,0.8,1.0,0.026,7.811,7.837
Dense,mat_001,What cybersecurity risks does Matson disclose?,"Matson, Inc.",easy,section_1A,Matson discloses that its information technology systems have in the past and may in the future be exposed to cybersecurity risks and other disruptions that could adversely impact the company.,"According to Matson's 2021 SEC filing, specifically Section: Risk Factors dated February 26, 2021 ([1]), the Company discloses the following cybersecurity risks:

1. Cybersecurity risks and disruptions that could impair the Company's ability to operate and adversely affect its business.
2. Exposed systems and third-party service providers in many aspects of its business, including cloud services for accounting, billing, disbursement, cargo booking and tracking, vessel scheduling and stowage, equipment tracking, customer service, banking, payroll, and employee communication systems.
3. Collection, storage, and transmission of sensitive data, including proprietary business information and that of customers and employees.
4. Cyber threats such as:
   - Computer viruses
   - Hacking
   - Malware
   - Denial of service attacks
   - Cyber terrorism
   - Circumvention of security systems
   - Malfeasance
   - Breaches due to employee error
   - Natural disasters
",0.1111,0.2,0.75,0.8,0.024,8.358,8.381
Dense,temp_001,How did AMD's competitive position change between 2007 and 2021?,ADVANCED MICRO DEVICES INC,hard,section_1A,In 2007 AMD faced competition primarily from Intel in microprocessors. By 2021 AMD's competitive concerns expanded to include GPU competitors and the expansion of Intel into integrated graphics. AMD's risk disclosures became more detailed over time.,"The provided filings do not contain enough information to answer this question.

The filings only provide specific financial data and market trends for certain periods, but they do not offer a comprehensive analysis of AMD's competitive position over the entire period from 2007 to 2021.",0.1235,1.0,0.5714,0.5,0.025,5.688,5.714
Dense,temp_002,When did Abbott Laboratories first disclose its four reportable segments?,ABBOTT LABORATORIES,hard,section_1,"Abbott Laboratories disclosed four reportable revenue segments including Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Vascular Products in filings from at least 2008 through 2011.","The answer is not found in any of the provided SEC filings, as the information about the number and names of the reportable segments changes over time. However, it can be inferred that Abbott Laboratories first disclosed its four reportable segments on or after January 1, 2004, when the company reorganized its segments, but the exact date is not specified in the provided context.

The earliest mentioned change to the segment structure is on January 1, 2004, when certain hospital pharmaceutical products were shifted from the Hospital Products segment to the Pharmaceutical Products segment, and the vascular and spinal products businesses were separated into non-reportable segments. However, this does not explicitly state that Abbott had four reportable segments at this time.

The first mention of Abbott having four reportable segments is in [2], which states: ""Abbott has four reportable revenue segments: Pharmaceutical Products, Diagnostic Products, Ross Products, and International."" This filing date is February 22, 2006.",0.1326,1.0,0.8571,1.0,0.024,8.24,8.265
BM25,amd_001,What are AMD's main competitive risks in the processor market?,ADVANCED MICRO DEVICES INC,easy,section_1A,"AMD faces intense competition from Intel in microprocessors and faces risks including competitors introducing better products faster, aggressive pricing pressure, and competitors having greater access to complementary technologies.","According to Advanced Micro Devices Inc.'s SEC filings, AMD's main competitive risks in the processor market include:

* Failing to achieve yield and volume goals or to offer higher-performance processors in significant volume on a timely basis and at competitive prices (Source: [1], [2], [4], [5])
* Market acceptance for new products, particularly 64-bit microprocessors based on x86 technology (Source: [2], [5])
* Maintaining adequate selling prices of microprocessors despite increasingly aggressive Intel pricing strategies, marketing programs, and product introductions (Source: [2], [5])
* Maintaining a competitive position in the server market and regaining momentum with new multi-core processors (Source: [1])
* The pace at which AMD can convert production to newer process technologies, such as 90-nanometer copper interconnect process (Source: [2], [5])
* Losing Microsoft Corporation's support for their products, which would materially adversely affect the company's ability",0.0719,1.0,0.8333,0.5,0.082,9.304,9.387
BM25,amd_002,What was AMD's strategy for the enterprise processor market?,ADVANCED MICRO DEVICES INC,medium,section_7,AMD aimed to increase its share of the enterprise market with tier-one OEM customers to utilize capacity of their planned 300-millimeter wafer fabrication facility and marketed the AMD Opteron processor for enterprise customers.,"The provided filings do not contain enough information to answer this question accurately. However, based on the context from the 2005 filing [3] and the 2019 filing [1], it can be inferred that AMD has historically developed dual-core processor technology for increasing processor performance with minimal increase in power consumption.

Regarding the enterprise processor market, the 2005 filing [3] mentions that AMD Opteron processors are used in a variety of server applications, including business processing and business intelligence. However, there is no specific information on AMD's strategy for the enterprise processor market.

The 2019 filing [1] does not provide any detailed information on AMD's strategy for the enterprise processor market, but it mentions that they introduced new processors such as Ryzen PRO APUs for commercial notebooks built with enterprise-grade features.

Further clarification or more recent filings would be necessary to determine a specific strategy for the enterprise processor market.",0.1099,1.0,0.8,1.0,0.034,7.349,7.384
BM25,amd_003,How did AMD describe its manufacturing strategy?,ADVANCED MICRO DEVICES INC,medium,section_1,AMD planned to transition to new process technologies at a fast pace including 90-nanometer process technology and build a 300-millimeter wafer fabrication facility to offer higher-performance microprocessors in greater volumes.,"The provided filings do not contain enough information to answer this question about ADAMS RESOURCES & ENERGY, INC.'s manufacturing strategy.",0.04,0.0,0.25,0.0,0.025,2.961,2.986
BM25,amd_004,What markets does AMD sell its products in?,ADVANCED MICRO DEVICES INC,easy,section_1,"AMD sells microprocessors and related products in consumer and commercial markets including the PC market, mobile computing market, and enterprise market through tier-one OEM customers.","According to the provided context from SEC filings, AMD sells its products in the following markets:

* Computation equipment market
* Communication equipment market

Additionally, the company also sells its Flash memory products under the Spansion trademark, and distributes these products in various markets, including:

* Domestic markets
* International markets (primarily Europe and Asia-Pacific Basin)

It is worth noting that the company's distribution channels include direct sales force, third-party distributors, and independent representatives, with non-exclusive agreements in place.

Source: [1], [2], [4]",0.1481,1.0,0.8,0.5,0.032,5.422,5.454
BM25,amd_005,What financial risks does AMD disclose related to manufacturing?,ADVANCED MICRO DEVICES INC,hard,section_1A,"AMD discloses risks including failure to achieve yield and volume goals, inability to offer higher-performance microprocessors in significant volume on a timely basis, and risks related to transitioning to new process technologies.","According to AMD's disclosures, one of the financial risks related to manufacturing is:

* Failure to achieve expected manufacturing yields for AMD's products could negatively impact its financial results.

(This risk is mentioned in AMD's 2021 Annual Report, Item 1.01: Business Outlook and Guidance, under ""Risks and Uncertainties"" section.)

Additionally, another related risk is:

* If essential equipment, materials or manufacturing processes are not available to manufacture AMD's products, AMD could be materially adversely affected.

(This risk is also mentioned in AMD's 2021 Annual Report, Item 1.01: Business Outlook and Guidance, under ""Risks and Uncertainties"" section.)

These risks highlight the potential consequences of disruptions in AMD's manufacturing operations, which can impact its financial performance.",0.1233,1.0,0.6667,0.7143,0.035,12.778,12.813
BM25,abt_001,What are Abbott Laboratories' main business segments?,ABBOTT LABORATORIES,easy,section_1,"Abbott Laboratories has four reportable revenue segments: Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Vascular Products.","According to the provided SEC filings:

Abbott Laboratories' main business segments are as follows:

* Pharmaceutical Products: This segment includes U.S. sales of a broad line of pharmaceuticals, and internationally, it is referred to as Established Pharmaceutical Products (as of 2011) or International sales of a broad line of branded generic pharmaceutical products (as of 2014).
* Diagnostic Products: This segment includes worldwide sales of diagnostic systems and tests for blood banks, hospitals, commercial laboratories, and alternate-care testing sites.
* Nutritional Products: This segment includes worldwide sales of a broad line of adult and pediatric nutritional products.

Note that Abbott Laboratories' reportable segments have undergone reorganizations over the years, as described in the filings. However, these three segments have been consistently reported throughout the provided SEC filings:

[1] 2006-02-22 (pre-2011)
[2] 2004-02-25 (pre-2011)
[3] 2014-",0.0795,1.0,0.8,0.8333,0.025,7.856,7.88
